Freq;Idade
1;7
2;7
3;89
4;89
5;47
6;47
7;47
8;4
9;4
10;4
11;39
12;73
13;73
14;73
15;73
16;70
17;34
18;39
19;56
20;21
21;42
22;77
23;77
24;39
25;40
26;46
27;1
28;54
29;44
30;61
31;32
32;32
33;32
34;32
35;32
36;33
37;65
38;35
39;35
40;40
41;76
42;58
43;51
44;50
45;43
46;52
47;72
48;72
49;63
50;36
51;47
52;23
53;54
54;42
55;28
56;30
57;41
58;46
59;38
60;14
61;29
62;38
63;45
64;72
65;55
66;3
67;44
68;55
69;69
70;25
71;41
72;36
73;50
74;93
75;44
76;44
77;53
78;63
79;4
80;33
81;33
82;33
83;29
84;29
85;29
86;73
87;49
88;32
89;34
90;90
91;19
92;33
93;51
94;51
95;53
96;41
97;17
98;22
99;48
100;82
101;64
102;44
103;78
104;32
105;84
106;54
107;40
108;22
109;36
110;39
111;49
112;31
113;37
114;47
115;53
116;44
117;28
118;27
119;25
120;25
121;25
122;37
123;37
124;68
125;46
126;33
127;26
128;26
129;26
130;28
131;33
132;37
133;29
134;24
135;4
136;51
137;75
138;33
139;33
140;56
141;79
142;38
143;61
144;28
145;78
146;36
147;63
148;73
149;31
150;80
151;7
152;72
153;57
154;57
155;57
156;45
157;92
158;52
159;90
160;52
161;52
162;90
163;4
164;93
165;63
166;36
167;36
168;36
169;36
170;36
171;55
172;66
173;56
174;70
175;61
176;52
177;43
178;54
179;51
180;69
181;83
182;6
183;33
184;69
185;76
186;56
187;77
188;77
189;74
190;63
191;1
192;58
193;58
194;64
195;64
196;66
197;69
198;72
199;71
200;44
201;44
202;51
203;51
204;53
205;95
206;3
207;3
208;71
209;1
210;76
211;91
212;91
213;69
214;68
215;79
216;76
217;55
218;68
219;1
220;57
221;73
222;88
223;40
224;40
225;40
226;69
227;72
228;69
229;66
230;89
231;80
232;44
233;43
234;76
235;38
236;31
237;74
238;72
239;42
240;69
241;4
242;29
243;60
244;46
245;30
246;52
247;59
248;38
249;49
250;79
251;45
252;67
253;57
254;37
255;37
256;55
257;11
258;62
259;39
260;10
261;70
262;51
263;24
264;79
265;77
266;26
267;38
268;51
269;41
270;41
271;41
272;24
273;38
274;19
275;19
276;19
277;19
278;60
279;60
280;60
281;60
282;60
283;67
284;9
285;89
286;89
287;41
288;75
289;70
290;68
291;68
292;68
293;68
294;68
295;34
296;40
297;58
298;78
299;78
300;78
301;35
302;31
303;42
304;25
305;25
306;25
307;25
308;25
309;62
310;1
311;71
312;20
313;59
314;53
315;52
316;7
317;83
318;92
319;92
320;54
321;54
322;54
323;54
324;67
325;67
326;67
327;67
328;89
329;89
330;89
331;38
332;58
333;58
334;25
