date;state;epidemiological_week_2019;epidemiological_week_2020;deaths_indeterminate_2020;deaths_respiratory_failure_2020;deaths_others_2020;deaths_pneumonia_2020;deaths_septicemia_2020;deaths_total_2020
01/01/2020;AC;1;1;1;1;8;2;2;14
02/01/2020;AC;1;1;1;1;14;4;4;24
03/01/2020;AC;1;1;1;1;22;7;6;37
04/01/2020;AC;1;1;1;2;26;7;7;43
05/01/2020;AC;1;2;1;3;30;11;7;52
06/01/2020;AC;2;2;1;3;35;14;10;63
07/01/2020;AC;2;2;1;4;41;17;12;75
08/01/2020;AC;2;2;1;5;47;20;13;86
09/01/2020;AC;2;2;1;7;52;23;14;97
10/01/2020;AC;2;2;1;9;60;25;17;112
11/01/2020;AC;2;2;1;9;61;26;17;114
12/01/2020;AC;2;3;1;9;67;30;18;125
13/01/2020;AC;3;3;1;12;73;32;20;138
14/01/2020;AC;3;3;1;12;78;35;22;148
15/01/2020;AC;3;3;1;13;83;39;22;158
16/01/2020;AC;3;3;1;13;89;40;23;166
17/01/2020;AC;3;3;1;13;94;43;24;175
18/01/2020;AC;3;3;1;14;106;44;25;190
19/01/2020;AC;3;4;1;16;110;45;26;198
20/01/2020;AC;4;4;1;16;120;48;26;211
21/01/2020;AC;4;4;1;17;128;54;26;226
22/01/2020;AC;4;4;1;17;131;54;27;230
23/01/2020;AC;4;4;2;18;141;54;27;242
24/01/2020;AC;4;4;2;19;146;56;31;254
25/01/2020;AC;4;4;2;19;154;59;31;265
26/01/2020;AC;4;5;2;20;162;60;32;276
27/01/2020;AC;5;5;2;20;167;62;32;283
28/01/2020;AC;5;5;2;21;174;63;34;294
29/01/2020;AC;5;5;2;21;182;64;35;304
30/01/2020;AC;5;5;2;21;189;67;38;317
31/01/2020;AC;5;5;3;21;192;69;40;325
01/02/2020;AC;5;5;3;21;201;70;41;336
02/02/2020;AC;5;6;4;21;209;74;42;350
03/02/2020;AC;6;6;4;22;214;75;44;359
04/02/2020;AC;6;6;4;22;220;76;46;368
05/02/2020;AC;6;6;4;22;227;77;46;376
06/02/2020;AC;6;6;4;24;235;79;48;391
07/02/2020;AC;6;6;4;27;244;80;51;407
08/02/2020;AC;6;6;4;27;250;82;52;416
09/02/2020;AC;6;7;4;27;260;85;55;432
10/02/2020;AC;7;7;4;28;263;86;57;439
11/02/2020;AC;7;7;4;28;274;87;58;452
12/02/2020;AC;7;7;4;29;285;92;59;470
13/02/2020;AC;7;7;4;29;293;94;61;482
14/02/2020;AC;7;7;4;29;301;97;61;493
15/02/2020;AC;7;7;4;31;306;102;62;506
16/02/2020;AC;7;8;4;31;309;106;63;514
17/02/2020;AC;8;8;4;32;313;109;63;522
18/02/2020;AC;8;8;4;32;319;109;64;529
19/02/2020;AC;8;8;4;32;326;111;65;539
20/02/2020;AC;8;8;5;35;330;115;65;551
21/02/2020;AC;8;8;5;35;341;115;65;562
22/02/2020;AC;8;8;5;35;347;115;65;568
23/02/2020;AC;8;9;5;35;353;117;68;579
24/02/2020;AC;9;9;5;35;356;117;69;583
25/02/2020;AC;9;9;5;35;361;119;70;591
26/02/2020;AC;9;9;6;36;367;124;71;605
27/02/2020;AC;9;9;6;36;370;127;73;613
28/02/2020;AC;9;9;7;38;375;131;75;627
29/02/2020;AC;9;9;7;38;380;131;76;634
01/03/2020;AC;9;10;7;38;388;135;76;646
02/03/2020;AC;9;10;7;40;393;136;77;655
03/03/2020;AC;10;10;7;40;400;138;81;668
04/03/2020;AC;10;10;7;40;407;138;83;678
05/03/2020;AC;10;10;7;41;414;141;85;691
06/03/2020;AC;10;10;7;43;421;143;87;704
07/03/2020;AC;10;10;7;44;427;146;88;715
08/03/2020;AC;10;11;7;46;432;150;88;726
09/03/2020;AC;10;11;7;46;440;153;91;740
10/03/2020;AC;11;11;7;47;444;157;93;751
11/03/2020;AC;11;11;7;48;449;159;95;761
12/03/2020;AC;11;11;7;49;453;163;95;770
13/03/2020;AC;11;11;7;50;460;168;95;783
14/03/2020;AC;11;11;8;51;464;169;95;790
15/03/2020;AC;11;12;8;52;468;171;97;799
16/03/2020;AC;11;12;8;53;473;172;98;807
17/03/2020;AC;12;12;8;53;480;173;99;816
18/03/2020;AC;12;12;8;53;484;177;99;824
19/03/2020;AC;12;12;8;53;494;180;101;839
20/03/2020;AC;12;12;8;54;499;184;102;850
21/03/2020;AC;12;12;8;56;507;188;102;864
22/03/2020;AC;12;13;8;57;512;190;103;874
23/03/2020;AC;12;13;8;57;519;193;103;884
24/03/2020;AC;13;13;8;58;525;194;103;892
25/03/2020;AC;13;13;8;59;532;199;104;906
26/03/2020;AC;13;13;8;59;534;202;105;912
27/03/2020;AC;13;13;8;60;536;206;106;920
28/03/2020;AC;13;13;8;60;543;207;108;930
29/03/2020;AC;13;14;8;60;550;210;110;942
30/03/2020;AC;13;14;8;60;560;213;111;957
31/03/2020;AC;14;14;8;61;564;214;111;963
01/04/2020;AC;14;14;8;61;567;215;111;967
02/04/2020;AC;14;14;8;62;570;217;113;975
03/04/2020;AC;14;14;8;63;571;219;114;980
04/04/2020;AC;14;14;8;63;577;220;116;989
05/04/2020;AC;14;15;8;64;581;222;118;998
06/04/2020;AC;14;15;8;65;587;225;118;1009
07/04/2020;AC;15;15;8;65;593;229;118;1020
08/04/2020;AC;15;15;8;65;601;230;119;1030
09/04/2020;AC;15;15;8;66;605;231;121;1038
10/04/2020;AC;15;15;8;66;608;233;121;1043
11/04/2020;AC;15;15;8;68;612;237;124;1056
12/04/2020;AC;15;16;8;72;619;239;124;1069
13/04/2020;AC;15;16;8;73;627;241;126;1082
14/04/2020;AC;16;16;9;74;632;244;128;1094
15/04/2020;AC;16;16;10;74;635;245;128;1100
16/04/2020;AC;16;16;10;74;641;246;130;1109
17/04/2020;AC;16;16;10;74;648;247;131;1118
18/04/2020;AC;16;16;10;74;654;251;134;1132
19/04/2020;AC;16;17;10;74;661;255;135;1145
20/04/2020;AC;16;17;10;74;664;256;137;1152
21/04/2020;AC;17;17;11;74;666;257;137;1157
22/04/2020;AC;17;17;12;74;669;267;137;1173
23/04/2020;AC;17;17;12;74;673;268;138;1179
24/04/2020;AC;17;17;13;75;677;271;138;1189
25/04/2020;AC;17;17;13;76;683;271;138;1197
26/04/2020;AC;17;18;13;77;692;273;142;1215
27/04/2020;AC;17;18;14;77;699;273;142;1227
28/04/2020;AC;18;18;14;78;709;273;146;1246
29/04/2020;AC;18;18;15;78;720;274;146;1261
30/04/2020;AC;18;18;15;79;727;275;146;1271
01/05/2020;AC;18;18;15;82;730;276;146;1279
02/05/2020;AC;18;18;15;84;739;277;146;1294
03/05/2020;AC;18;19;15;85;748;278;147;1308
04/05/2020;AC;18;19;15;85;752;280;147;1315
05/05/2020;AC;19;19;16;87;755;283;148;1330
06/05/2020;AC;19;19;16;88;761;285;148;1342
07/05/2020;AC;19;19;17;91;765;288;148;1355
08/05/2020;AC;19;19;17;92;775;291;149;1371
09/05/2020;AC;19;19;17;92;780;291;150;1380
10/05/2020;AC;19;20;17;93;785;293;151;1393
11/05/2020;AC;19;20;17;94;793;295;151;1409
12/05/2020;AC;20;20;17;94;800;298;154;1424
13/05/2020;AC;20;20;18;94;806;301;154;1435
14/05/2020;AC;20;20;18;94;814;303;155;1450
15/05/2020;AC;20;20;18;94;817;306;155;1458
16/05/2020;AC;20;20;18;94;818;309;156;1465
17/05/2020;AC;20;21;18;94;825;313;159;1486
18/05/2020;AC;20;21;18;94;834;314;160;1502
19/05/2020;AC;21;21;18;94;845;316;160;1519
20/05/2020;AC;21;21;18;97;853;319;161;1538
21/05/2020;AC;21;21;18;98;859;323;162;1555
22/05/2020;AC;21;21;19;101;866;327;166;1577
23/05/2020;AC;21;21;19;103;875;328;169;1601
24/05/2020;AC;21;22;19;103;882;332;170;1614
25/05/2020;AC;21;22;19;105;889;334;170;1633
26/05/2020;AC;22;22;19;105;901;334;170;1652
27/05/2020;AC;22;22;19;106;907;339;170;1671
28/05/2020;AC;22;22;20;107;914;340;171;1693
29/05/2020;AC;22;22;20;109;927;343;172;1717
30/05/2020;AC;22;22;20;110;933;345;173;1732
31/05/2020;AC;22;23;20;111;940;346;173;1747
01/06/2020;AC;22;23;20;111;942;348;174;1760
02/06/2020;AC;23;23;20;114;947;348;175;1777
03/06/2020;AC;23;23;20;115;953;350;175;1800
04/06/2020;AC;23;23;20;115;962;352;176;1818
05/06/2020;AC;23;23;20;116;973;353;176;1838
06/06/2020;AC;23;23;20;118;982;355;178;1864
07/06/2020;AC;23;24;20;118;984;355;179;1873
08/06/2020;AC;23;24;20;119;991;360;182;1898
09/06/2020;AC;24;24;20;119;995;364;182;1916
10/06/2020;AC;24;24;20;119;1002;365;182;1935
11/06/2020;AC;24;24;20;119;1007;369;184;1953
12/06/2020;AC;24;24;20;120;1014;372;186;1974
13/06/2020;AC;24;24;20;123;1021;374;187;1994
14/06/2020;AC;24;25;20;123;1028;374;188;2006
15/06/2020;AC;24;25;20;123;1035;377;189;2024
16/06/2020;AC;25;25;20;124;1041;377;191;2039
17/06/2020;AC;25;25;20;125;1047;380;193;2060
18/06/2020;AC;25;25;20;125;1050;381;194;2072
19/06/2020;AC;25;25;20;126;1057;383;194;2088
20/06/2020;AC;25;25;21;126;1064;385;195;2111
21/06/2020;AC;25;26;21;127;1069;388;196;2124
22/06/2020;AC;25;26;21;127;1077;390;196;2139
23/06/2020;AC;26;26;21;128;1080;390;196;2151
24/06/2020;AC;26;26;21;129;1084;390;196;2160
25/06/2020;AC;26;26;21;132;1091;391;198;2183
26/06/2020;AC;26;26;21;133;1097;392;199;2201
27/06/2020;AC;26;26;21;133;1103;393;199;2214
28/06/2020;AC;26;27;21;134;1108;394;199;2225
29/06/2020;AC;26;27;21;134;1112;395;199;2234
30/06/2020;AC;27;27;22;134;1118;396;200;2248
01/07/2020;AC;27;27;22;134;1121;396;202;2260
02/07/2020;AC;27;27;22;135;1125;396;202;2274
03/07/2020;AC;27;27;22;135;1136;397;204;2291
04/07/2020;AC;27;27;22;137;1144;399;205;2309
05/07/2020;AC;27;28;22;137;1151;400;206;2322
06/07/2020;AC;27;28;22;138;1156;401;207;2337
07/07/2020;AC;28;28;23;140;1162;402;210;2353
08/07/2020;AC;28;28;23;142;1169;402;212;2371
09/07/2020;AC;28;28;23;143;1177;404;215;2393
10/07/2020;AC;28;28;23;143;1182;404;216;2401
11/07/2020;AC;28;28;23;144;1187;406;217;2418
12/07/2020;AC;28;29;23;144;1190;407;218;2428
13/07/2020;AC;28;29;23;144;1192;411;220;2442
14/07/2020;AC;29;29;23;145;1193;414;220;2451
15/07/2020;AC;29;29;23;146;1198;415;220;2468
16/07/2020;AC;29;29;23;146;1203;415;220;2478
17/07/2020;AC;29;29;23;146;1209;418;220;2493
18/07/2020;AC;29;29;23;149;1218;418;220;2511
19/07/2020;AC;29;30;23;149;1225;419;221;2526
20/07/2020;AC;29;30;23;149;1229;421;224;2539
21/07/2020;AC;30;30;23;149;1234;422;225;2551
22/07/2020;AC;30;30;23;150;1238;422;225;2562
23/07/2020;AC;30;30;23;150;1244;424;226;2573
24/07/2020;AC;30;30;23;151;1244;426;226;2580
25/07/2020;AC;30;30;23;151;1248;434;228;2599
26/07/2020;AC;30;31;23;153;1252;436;229;2612
27/07/2020;AC;30;31;23;154;1259;439;231;2630
28/07/2020;AC;31;31;23;155;1265;439;232;2642
29/07/2020;AC;31;31;23;155;1269;439;234;2650
30/07/2020;AC;31;31;23;155;1270;439;234;2657
31/07/2020;AC;31;31;23;155;1276;440;235;2670
01/08/2020;AC;31;31;23;155;1281;441;235;2679
02/08/2020;AC;31;32;23;155;1291;442;236;2694
03/08/2020;AC;31;32;23;156;1301;442;236;2713
04/08/2020;AC;32;32;23;156;1306;443;237;2722
05/08/2020;AC;32;32;23;156;1311;443;237;2728
06/08/2020;AC;32;32;23;157;1317;445;239;2744
07/08/2020;AC;32;32;23;157;1320;445;239;2751
08/08/2020;AC;32;32;23;157;1324;446;243;2765
09/08/2020;AC;32;33;23;158;1329;449;245;2781
10/08/2020;AC;32;33;23;158;1337;449;245;2794
11/08/2020;AC;33;33;24;158;1347;453;246;2813
12/08/2020;AC;33;33;24;158;1349;453;246;2818
13/08/2020;AC;33;33;25;158;1357;453;246;2830
14/08/2020;AC;33;33;25;160;1363;454;246;2846
15/08/2020;AC;33;33;25;161;1368;454;247;2853
16/08/2020;AC;33;34;25;161;1374;456;247;2866
17/08/2020;AC;33;34;25;162;1379;456;247;2876
18/08/2020;AC;34;34;27;163;1386;457;248;2891
19/08/2020;AC;34;34;27;164;1391;460;249;2908
20/08/2020;AC;34;34;27;164;1396;461;250;2915
21/08/2020;AC;34;34;27;164;1401;464;251;2924
22/08/2020;AC;34;34;27;164;1404;467;252;2935
23/08/2020;AC;34;35;27;165;1412;468;252;2948
24/08/2020;AC;34;35;27;165;1419;470;252;2958
25/08/2020;AC;35;35;27;166;1422;471;252;2964
26/08/2020;AC;35;35;27;166;1426;471;253;2969
27/08/2020;AC;35;35;27;167;1434;474;253;2982
28/08/2020;AC;35;35;27;167;1437;475;256;2992
29/08/2020;AC;35;35;27;167;1443;475;258;3003
30/08/2020;AC;35;36;27;168;1451;475;259;3014
31/08/2020;AC;35;36;27;170;1459;475;261;3027
01/09/2020;AC;36;36;27;171;1467;477;262;3042
02/09/2020;AC;36;36;27;171;1470;479;262;3050
03/09/2020;AC;36;36;27;172;1475;480;263;3059
04/09/2020;AC;36;36;28;172;1484;481;264;3072
05/09/2020;AC;36;36;28;173;1487;482;264;3077
06/09/2020;AC;36;37;28;174;1494;482;265;3087
07/09/2020;AC;36;37;28;174;1497;483;267;3094
08/09/2020;AC;37;37;28;175;1504;484;268;3109
09/09/2020;AC;37;37;28;175;1511;484;269;3120
10/09/2020;AC;37;37;28;177;1514;484;269;3126
11/09/2020;AC;37;37;28;177;1524;487;272;3143
12/09/2020;AC;37;37;28;178;1531;490;273;3159
13/09/2020;AC;37;38;28;180;1539;491;275;3172
14/09/2020;AC;37;38;28;180;1545;492;277;3182
15/09/2020;AC;38;38;28;181;1550;493;278;3192
16/09/2020;AC;38;38;28;181;1556;497;278;3204
17/09/2020;AC;38;38;28;181;1561;498;281;3213
18/09/2020;AC;38;38;28;181;1569;499;281;3224
19/09/2020;AC;38;38;28;182;1574;502;283;3237
20/09/2020;AC;38;39;28;182;1583;503;283;3247
21/09/2020;AC;38;39;28;183;1586;506;283;3257
22/09/2020;AC;39;39;28;184;1591;506;284;3265
23/09/2020;AC;39;39;28;185;1601;506;285;3278
24/09/2020;AC;39;39;28;186;1606;506;287;3287
25/09/2020;AC;39;39;28;186;1609;508;287;3298
26/09/2020;AC;39;39;28;186;1612;511;288;3307
27/09/2020;AC;39;40;28;187;1618;512;288;3315
28/09/2020;AC;39;40;28;187;1621;512;290;3321
29/09/2020;AC;40;40;28;188;1624;512;290;3327
30/09/2020;AC;40;40;28;191;1627;512;290;3334
01/10/2020;AC;40;40;28;192;1632;513;290;3344
02/10/2020;AC;40;40;28;192;1634;517;291;3352
03/10/2020;AC;40;40;28;192;1638;517;293;3358
04/10/2020;AC;40;41;28;192;1647;517;293;3368
05/10/2020;AC;40;41;28;192;1651;517;293;3373
06/10/2020;AC;41;41;28;194;1661;517;294;3388
07/10/2020;AC;41;41;29;195;1672;517;297;3405
08/10/2020;AC;41;41;29;196;1677;520;298;3416
09/10/2020;AC;41;41;29;198;1684;521;299;3430
10/10/2020;AC;41;41;29;199;1694;524;300;3447
11/10/2020;AC;41;42;29;200;1699;525;301;3457
12/10/2020;AC;41;42;29;200;1708;526;302;3468
13/10/2020;AC;42;42;29;200;1712;526;303;3474
14/10/2020;AC;42;42;29;201;1713;528;305;3483
15/10/2020;AC;42;42;29;202;1718;528;307;3491
16/10/2020;AC;42;42;29;202;1723;530;309;3501
17/10/2020;AC;42;42;29;202;1728;532;310;3510
18/10/2020;AC;42;43;30;203;1733;535;310;3520
19/10/2020;AC;42;43;30;203;1738;535;310;3526
20/10/2020;AC;43;43;30;203;1740;538;311;3532
21/10/2020;AC;43;43;30;203;1741;539;313;3536
22/10/2020;AC;43;43;30;204;1745;541;314;3545
23/10/2020;AC;43;43;30;204;1749;542;315;3551
24/10/2020;AC;43;43;30;204;1757;543;318;3563
25/10/2020;AC;43;44;30;204;1763;544;319;3575
26/10/2020;AC;43;44;30;204;1767;544;321;3581
27/10/2020;AC;44;44;30;204;1772;546;321;3589
28/10/2020;AC;44;44;30;204;1775;548;326;3600
29/10/2020;AC;44;44;30;205;1777;550;329;3609
30/10/2020;AC;44;44;30;206;1784;552;331;3622
31/10/2020;AC;44;44;31;208;1788;553;331;3631
01/11/2020;AC;44;45;32;208;1796;555;333;3645
02/11/2020;AC;44;45;33;208;1801;557;333;3654
03/11/2020;AC;45;45;33;211;1806;559;335;3667
04/11/2020;AC;45;45;34;211;1811;560;335;3676
05/11/2020;AC;45;45;34;211;1816;563;336;3686
06/11/2020;AC;45;45;34;212;1820;563;338;3697
07/11/2020;AC;45;45;34;213;1830;563;338;3709
08/11/2020;AC;45;46;34;213;1836;566;339;3721
09/11/2020;AC;45;46;35;214;1841;566;342;3732
10/11/2020;AC;46;46;35;214;1846;567;342;3739
11/11/2020;AC;46;46;36;214;1853;567;343;3749
12/11/2020;AC;46;46;36;218;1856;569;348;3763
13/11/2020;AC;46;46;36;219;1867;571;350;3781
14/11/2020;AC;46;46;37;220;1876;572;352;3797
15/11/2020;AC;46;47;37;220;1882;574;355;3808
16/11/2020;AC;46;47;37;220;1885;574;356;3812
17/11/2020;AC;47;47;37;220;1889;575;357;3818
18/11/2020;AC;47;47;37;220;1895;576;357;3827
19/11/2020;AC;47;47;37;220;1905;579;359;3842
20/11/2020;AC;47;47;37;221;1909;580;359;3850
21/11/2020;AC;47;47;38;221;1914;581;361;3861
22/11/2020;AC;47;48;38;221;1916;583;363;3869
23/11/2020;AC;47;48;38;222;1922;584;364;3878
24/11/2020;AC;48;48;39;222;1931;585;365;3891
25/11/2020;AC;48;48;39;222;1933;587;365;3896
26/11/2020;AC;48;48;39;223;1937;587;369;3906
27/11/2020;AC;48;48;39;223;1941;589;371;3914
28/11/2020;AC;48;48;39;224;1951;590;372;3927
29/11/2020;AC;48;49;39;224;1953;590;373;3932
30/11/2020;AC;48;49;39;224;1958;592;375;3941
01/12/2020;AC;49;49;39;224;1961;593;376;3948
02/12/2020;AC;49;49;39;224;1967;594;378;3960
03/12/2020;AC;49;49;39;225;1970;596;380;3969
04/12/2020;AC;49;49;39;226;1974;598;380;3979
05/12/2020;AC;49;49;39;226;1979;600;380;3987
06/12/2020;AC;49;50;39;227;1986;602;381;4002
07/12/2020;AC;49;50;39;227;1991;603;382;4011
08/12/2020;AC;50;50;39;227;1998;604;383;4024
09/12/2020;AC;50;50;39;228;2001;605;384;4035
10/12/2020;AC;50;50;39;228;2007;606;385;4046
11/12/2020;AC;50;50;39;229;2012;608;385;4055
12/12/2020;AC;50;50;39;229;2018;609;387;4069
13/12/2020;AC;50;51;39;229;2023;610;387;4080
14/12/2020;AC;50;51;39;229;2026;611;388;4087
15/12/2020;AC;51;51;39;229;2031;616;390;4103
16/12/2020;AC;51;51;39;229;2036;617;391;4115
17/12/2020;AC;51;51;39;229;2042;617;392;4124
18/12/2020;AC;51;51;39;229;2043;619;394;4131
19/12/2020;AC;51;51;39;229;2046;620;395;4136
20/12/2020;AC;51;52;39;229;2050;622;396;4145
21/12/2020;AC;51;52;39;229;2056;623;397;4153
22/12/2020;AC;52;52;39;229;2061;625;397;4161
23/12/2020;AC;52;52;39;230;2062;627;398;4168
24/12/2020;AC;52;52;39;230;2068;627;399;4176
25/12/2020;AC;52;52;39;230;2074;629;401;4187
26/12/2020;AC;52;52;39;230;2076;630;403;4194
27/12/2020;AC;52;53;39;231;2078;630;403;4199
28/12/2020;AC;52;53;39;231;2080;630;403;4201
29/12/2020;AC;1;53;39;231;2081;631;404;4204
30/12/2020;AC;1;53;39;231;2081;631;404;4204
31/12/2020;AC;1;53;39;231;2081;631;404;4204
01/01/2020;AL;1;1;0;6;30;3;7;46
02/01/2020;AL;1;1;0;12;61;9;13;95
03/01/2020;AL;1;1;1;17;98;14;19;149
04/01/2020;AL;1;1;1;21;121;21;23;187
05/01/2020;AL;1;2;1;24;152;31;32;240
06/01/2020;AL;2;2;1;30;183;33;38;285
07/01/2020;AL;2;2;3;33;212;40;46;334
08/01/2020;AL;2;2;3;36;245;47;54;385
09/01/2020;AL;2;2;3;41;273;53;62;433
10/01/2020;AL;2;2;3;46;305;59;65;479
11/01/2020;AL;2;2;3;51;348;65;73;541
12/01/2020;AL;2;3;3;58;378;71;83;594
13/01/2020;AL;3;3;3;62;414;78;89;647
14/01/2020;AL;3;3;3;65;435;87;94;685
15/01/2020;AL;3;3;3;72;457;98;97;728
16/01/2020;AL;3;3;3;80;479;109;101;773
17/01/2020;AL;3;3;3;87;506;116;109;822
18/01/2020;AL;3;3;3;90;538;123;118;873
19/01/2020;AL;3;4;3;91;561;126;125;907
20/01/2020;AL;4;4;3;93;588;130;130;945
21/01/2020;AL;4;4;3;99;629;141;132;1005
22/01/2020;AL;4;4;4;109;648;149;137;1048
