Position,"Track Name",Artist,URL
1,"Paty Trem Barbie","MC Magrella",https://open.spotify.com/track/3woa0ekqNnhx4etwchLZDk
2,Alívio,"Jessé Aguiar",https://open.spotify.com/track/40KZgKCIvRVIoZqv9lNBoP
3,Castaways,"The Backyardigans",https://open.spotify.com/track/6uDBSDI9pDM7C4Gm0hc2hI
4,"ZITTI E BUONI",Måneskin,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
5,"Novinho de 17 Anos","cleytinho paz",https://open.spotify.com/track/3I9kJ8QJnsGar9S0iV2YiM
6,"Dick (feat. Doja Cat)",StarBoi3,https://open.spotify.com/track/3nY8AqaMNNHHLYV4380ol0
7,"Tipo Surfista","DJ Cleitinho",https://open.spotify.com/track/29GfpfKba9AiYTwo30O494
8,"Eu Sou O Mestre Dos Magos","DJ GRZS",https://open.spotify.com/track/132wAeR05o10R9iSjA1XAE
9,"Toma Vagabunda Pirocada de Bandido","DJ Helinho",https://open.spotify.com/track/3nW0f94rw9LczMii8N8fww
10,Plutão,VMZ,https://open.spotify.com/track/3ydmNkAyYq0AKtG8sTfE9P
11,"deja vu","Olivia Rodrigo",https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
12,"I WANNA BE YOUR SLAVE",Måneskin,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
13,#BrooklynBloodPop!,SyKo,https://open.spotify.com/track/7K9Z3yFNNLv5kwTjQYGjnu
14,Bipolar,"Mc Davi",https://open.spotify.com/track/0qxLQ6opocOGyFnlXqJ53x
15,"Na Ponta do Pé - Brega Funk","Nadson O Ferinha",https://open.spotify.com/track/4VBhrKEJ9nWzaiyhM5L9ic
16,"Sofa, Breja e Netflix","Mac Júlia",https://open.spotify.com/track/6eIZaT9qNz9lVrhWbJOWls
17,"Never Forget You",Noisettes,https://open.spotify.com/track/3xxmjMvJsSR3L7mUOxP9QA
18,"Promiscuous Motive","Josiane Lessard",https://open.spotify.com/track/7hICqTvF8m3qTwhb2TRv0z
19,"O LOBO VAI COMER - ELE TE COME E DEPOIS JOGA FORA","DJ BRUNO PRADO",https://open.spotify.com/track/1yf06WmcKRAq7jCxgYVHUt
20,"Don't (feat. RM)",eAeon,https://open.spotify.com/track/6KE3Fs6LMzi4hJI3eFqyLC
21,"Catucada profunda","DJ TAK VADIÃO",https://open.spotify.com/track/2DaEaeLZtLaKiBhztTvQCY
22,"Volta Bebê, Volta Neném","Dj Guuga",https://open.spotify.com/track/4wQUopWk9Ed7Ng5qpKN5qd
23,"Doutora 3","Mc Kevin",https://open.spotify.com/track/4DWKtQVURjepn8uzBgmwuv
24,"Pike - Illusionize Remix",Confesser,https://open.spotify.com/track/5ZiFm8sWAKOImqyELd9Qqz
25,"Deixa Eu Falar pra Você","Josué Bom de Faixa",https://open.spotify.com/track/0f1xsopmPwjGv5lJooglnD
26,"Automotivo de Paraisopolis","DJ Souza Original",https://open.spotify.com/track/6A6KCYsDAeR9XmXaCdIweC
27,FEVER,ENHYPEN,https://open.spotify.com/track/0UzymivvUH5s8z4PeWZJaK
28,"MTG É Sempre Assim","DJ ARTHUZIIN",https://open.spotify.com/track/7frGdTrAxXpYbvsTsaySxJ
29,"Hino do São Paulo","Orquestra e Coro Cid (Flabanda)",https://open.spotify.com/track/0IuSdIxMOvxlANxdtcTnfN
30,Freaks,"Surf Curse",https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
31,ASAP,STAYC,https://open.spotify.com/track/5BXr7hYZQOeRttkeWYTq5S
32,"Tipo Gin - Ao Vivo","MC Kevin o Chris",https://open.spotify.com/track/4llr8mcoauwrHBtjGb7F9S
33,Rasputin,Majestic,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
34,Morena,NATTAN,https://open.spotify.com/track/6zsEKAZZulmsl1Qlw5G3EX
35,"t r a n s p a r e n t s o u l feat. Travis Barker",WILLOW,https://open.spotify.com/track/1QL7nSDZCwZMnbisV4KOXt
36,"Baby Me Atende","Matheus Fernandes",https://open.spotify.com/track/5R9KPXQVeyqsHZoPLMgfNy
37,"Saque - Remix",MYSTIC!,https://open.spotify.com/track/3nh8GzQjHwDOK29X3jpLO0
38,"BEAT DO AKON (Funk Remix)","Dj Vm",https://open.spotify.com/track/2Z0ndOPDVXKENAVeQeced9
39,"Vida Louca","Mc Poze do Rodo",https://open.spotify.com/track/7IG7laqVpcvIIULrwWP5SA
40,Venom,"Little Simz",https://open.spotify.com/track/4WaaWczlVb1UJ24LILsR4C
41,Troca,"Jorge & Mateus",https://open.spotify.com/track/6HV630GY0GT3RN2efFRmbP
42,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne",https://open.spotify.com/track/6uvMKqNlrSvcC4NaKnrwjZ
43,"Manto do Timão","Mc Kevin",https://open.spotify.com/track/3GiY6uqCIFD8ufQ12ElSUZ
44,"Os Menino da Pecuária","Léo & Raphael",https://open.spotify.com/track/49QpcTWIP16YgGLmiPDvTI
45,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
46,"Carinha de BBzinha","Anderson Rodrigues",https://open.spotify.com/track/1iCkf1LWDAc2HMZbtq3hd7
47,"After School",Weeekly,https://open.spotify.com/track/52CBUrIdyf8tbZaUY9iawE
48,"In the morning",ITZY,https://open.spotify.com/track/2QdH0rKlV3d9Y6lWzcnlBH
49,"Trajado de Glock Ela Joga na Cara","Tz da Coronel",https://open.spotify.com/track/2dcYBsq0wTqkJIlfNMGfrR
50,"Corte Americano","Filipe Ret",https://open.spotify.com/track/68qqVn5kHBv4zc45SDGLnh
